date,precision_code,precision,region,location,pleiades_name,pleiades_id,lat,lng,title,imprint,series,shelf_location,bsn
Oct-16,2,City,Ukraine,Olbia,Borysthenes/Olbia,226546,46.691895,31.901597,Arkhaicheskiĭ nekropolʹ Olʹvii : publikat͡sii͡a odnoĭ kollekt͡sii / V.M. Skudnova. // Архаический некрополь Ольвии : публикация одной коллекции / В.М. Скуднова.,"Leningrad : ""Iskusstvo"", Leningradskoe otd-nie, 1988.",,Small Collection: DK508.95.O43 S58 1988 ,4499688
Oct-16,3,Region,Ukraine,Crimea,,,45.3,34.4,"Arkheologicheskie atlasy Severnogo Prichernomorʹi͡a : atlas pozdneskifskikh gorodishch predgornogo Kryma / T.N. Smekalova, S.G. Koltukhov, I͡U.P. Zaĭt͡sev = Archaeological atlases of the Northern Black Sea Shore : atlas of late Scythian fortresses in the Crimean foothills / T.N. Smekalova, S.G. Koltukhov, Ju. P. Zaytsev. // Археологические атласы Северного Причерноморья : атлас позднескифских городищ предгорного Крыма / Т.Н. Смекалова, С.Г. Колтухов, Ю.П. Зайцев = Archaeological atlases of the Northern Black Sea Shore : atlas of late Scythian fortresses in the Crimean foothills / T.N. Smekalova, S.G. Koltukhov, Ju. P. Zaytsev.",,Materialy k arkheologicheskoĭ karte Kryma ;vypusk XV =Materials for the archaeological map of Crimea ;issue XV // Материалы к археологической карте Крыма ;выпуск ХV =Materials for the archaeological map of Crimea ;issue XV,Folio Collection: DK508.9.K78 S627 2014 ,4486686
Oct-16,3,Region,Russia,Orenburg Oblast,,,52.133333,55.6,"Arkheologicheskie pami͡atniki Orenburzhʹi͡a / Ministerstvo obrazovanii͡a Rossiĭskoĭ Federat͡sii, Orenburgskiĭ gosudarstvennyĭ pedagogicheskiĭ institut. // Археологические памятники Оренбуржья / Министерство образования Российской Федерации, Оренбургский государственный педагогический институт.","Orenburg : Orenburgskiĭ gosudarstvennyĭ pedagogicheskiĭ institut, 1996-",,Oak Collection: DK511.O75 A75 vyp.12 (2016),4260825
Oct-16,4,Broad Region,Byzantine Empire,(General),,,41.011,28.97,"Byzantine numismatic bibliography, 1950-1965 / by Joel L. Malter.","Chicago : Argonaut, 1968.",Argonaut library of antiquities,Small Collection: Z6869.B9 M3 1968 ,4490056
Oct-16,3,Region,Armenia,(General),Armenia,874350,39.5,40.5,Catalogue of the Armenian manuscripts in the Cambridge University Library / by S. Peter Cowe.,"Lovanii : E. Peeters, 1994.",Corpus scriptorum Christianorum orientalium ;v. 546.Subsidia ;t. 86,Small Collection: Z6605.A7 C685 1994 ,1238901
Oct-16,3,Region,Egypt,(General),,,26,30,Catan collectors edition : ancient Egypt / Klaus Teubner.,,,Reference 3 Collection: MEDIA 1605 ,4498100
Oct-16,4,Broad region,China,(General),,,35,103,Chūgoku shisō bungakushi / Hihara Toshikuni. // 中国思想文学史 / 日原利国.,"Kyōto : Yūyū Shoten, 1999.",,Small Collection: B5231 .H44 1999 ,4490018
Oct-16,4,Broad region,Roman Republic,(General),,423025,42,12.45,Civil war / Caesar; edited and translated by Cynthia Damon.,,Loeb classical library ;39,Reference 3 Collection: PA6156.C3 C42 2016 ,4318559
Oct-16,2,City,Algeria,Hippo Regius,Hippo Regius,305090,36.882478,7.751272,Confessions / Augustine ; edited and translated by Carolyn J.-B. Hammond.,,Loeb classical library ;26-27,Reference 3 Collection: PA6156.A8 A848 2014 v.2,4319355
Oct-16,3,Region,Iraq,Mesopotamia,,981534,34,44,"Current research in cuneiform palaeography : proceedings of the workshop organised at the 60th Rencontre Assyriologique Internationale, Warsaw 2014 / edited by Elena Devecchi, Gerfried G.W. Müller, Jana Mynářová.",,,Small Collection: PJ3211 .R46 2014 ,4237061
Oct-16,3,Region,Cyprus,(General),,707498,35.04136726,33.27561106,Cypro-Minoan inscriptions / Silvia Ferrara.,"Oxford ; New York : Oxford University Press, 2012-2013.",Oxford studies in ancient culture and representation,Large Collection: P1039 .F47 2012 v.2,3591930
Oct-16,1,Site,Iraq,Assur (Anu-Adad-Tempel),Ashur/'Lamban'?/'Liba(nai)'?,893945,35.459069,43.259516,Der Anu-Adad-Tempel in Assur / Peter Werner.,,"Wissenschaftliche Veröffentlichungen der Deutschen Orient-Gesellschaft ;0342-4464 ;145 // Ausgrabungen der Deutschen Orient-Gesellschaft in Assur. A, Baudenmäler aus Assyrischer Zeit ;Band 15",Oversize Collection: DS70.5.A7 W47 2016 ,4488800
